平假名讀音	日文	中文	羅馬拼音打字	類型
せんたくき	洗濯機	洗衣機	senntakuki	物品
てれび	テレビ	電視	terebi	物品
びでお	ビデオ	影片	bideo	物品
かめら	カメラ	相機	kamera	物品
ぱそこん	パソコン	電腦	pasokonn	物品
えあこん	エアコン	冷氣	eakonn	物品
うえ	上	上面	ue	方位
した	下	下面	sita	方位
ひだり	左	左邊	hidari	方位
みぎ	右	右邊	migi	方位
なか	中	中間	naka	方位
まえ	前	前面	mae	方位
うしろ	後ろ	後面	usiro	方位
ひがし	東	東方	higasi	方位
にし	西	西方	nisi	方位
みなみ	南	南方	minami	方位
きた	北	北方	kita	方位
うち	内	裡面	uchi	方位
そと	外	外面	soto	方位
へん	辺	附近	henn	方位
となり	隣	隔壁	tonari	方位
よこ	横	隔壁、旁邊	yoko	方位
いち	1	1	ichi	數字
に	2	2	ni	數字
さん	3	3	sann	數字
よん	4	4	yonn	數字
ご	5	5	go	數字
ろく	6	6	roku	數字
しち/なな	7	7	sichi/nana	數字
はち	8	8	hachi	數字
きゅう	9	9	kyuu	數字
じゅう	10	10	jyuu	數字
あう	会う	見面	au	動詞
あそぶ	遊ぶ	玩耍	asobu	動詞
あるく	歩く	走路	aruku	動詞
いう	言う	說	iu	動詞
いく	行く	去	iku	動詞
いる	要る	需要	iru	動詞
うたう	歌う	唱	utau	動詞
およぐ	泳ぐ	游泳	oyogu	動詞
おわる	終わる	結束	owaru	動詞
おしえる	教える	告訴、教導	osieru	動詞
かう	買う	買	kau	動詞
かく	書く	寫	kaku	動詞
かかる	掛かる	花費時間、金錢	kakaru	動詞
かえる	帰る	回家	kaeru	動詞
きく	聞く	請教、聽到	kiku	動詞
こたえる	答える	回答	kotaeru	動詞
こまる	困る	困擾、為難	komaru	動詞
くる	来る	來	kuru	動詞
しぬ	死ぬ	死	sinu	動詞
すむ	住む	居住	sumu	動詞
すわる	座る	坐下	suwaru	動詞
たつ	立つ	站立	tatsu	動詞
たべる	食べる	吃	taberu	動詞
つかれる	疲れる	疲累	tsukareru	動詞
つく	着く	到達	tsuku	動詞
つかう	使う	使用	tsukau	動詞
つくる	作る	做	tsukuru	動詞
とまる	止まる	停止	tomaru	動詞
とぶ	飛ぶ	飛、突然跳出	tobu	動詞
なく	泣く	哭泣	naku	動詞
ねる	寝る	睡覺	neru	動詞
のる	乗る	乘坐	noru	動詞
のむ	飲む	喝	nomu	動詞
ちがう	違う	不同、錯誤	chigau	動詞
ならぶ	並ぶ	排列、排隊	narabu	動詞
はいる	入る	進入	hairu	動詞
はじまる	始まる	開始	hajimaru	動詞
はしる	走る	跑（人）、行駛（車）	hasiru	動詞
ふる	降る	降下	furu	動詞
みる	見る	看	miru	動詞
まつ	待つ	等待	matsu	動詞
よむ	読む	閱讀	yomu	動詞
あつい	暑い	熱的	atsui	形容詞
さむい	寒い	冷的	samui	形容詞
つめたい	冷たい	涼的	tsumetai	形容詞
あたたかい	暖かい	溫暖的	atatakai	形容詞
すずしい	涼しい	涼爽的	suzusii	形容詞
あつい	厚い	厚的	atsui	形容詞
うすい	薄い	薄的、淡的	usui	形容詞
ちかい	近い	近的	chikai	形容詞
とおい	遠い	遠的	tooi	形容詞
よわい	弱い	弱的	yowai	形容詞
つよい	強い	強的	tsuyoi	形容詞
かるい	軽い	輕的	karui	形容詞
おもい	重い	重的	omoi	形容詞
せまい	狭い	狹窄	semai	形容詞
ひろい	広い	寬廣	hiroi	形容詞
はやい	早い	早的	hayai	形容詞
はやい	速い	快的	hayai	形容詞
おそい	遅い	慢、晚、	osoi	形容詞
ふとい	太い	粗的、胖的	futoi	形容詞
ほそい	細い	細的	hosoi	形容詞
みじかい	短い	短的	mijikai	形容詞
ながい	長い	長的	nagai	形容詞
やすい	安い	便宜	yasui	形容詞
たかい	高い	貴的、高的	takai	形容詞
ひくい	低い	矮的	hikui	形容詞
いい	良い	好的	ii	形容詞
わるい	悪い	壞的	warui	形容詞
きたない	汚い	髒的	kitanai	形容詞
あたらしい	新しい	新的	atarasii	形容詞
ふるい	古い	舊的	furui	形容詞
おもしろい	面白い	有趣的	omosiroi	形容詞
つまらない	つまらない	無聊的	tsumaranai	形容詞
おおきい	大きい	大的	ookii	形容詞
ちいさい	小さい	小的	chiisai	形容詞
あまい	甘い	甜的	amai	形容詞
おいしい	美味しい	好吃、好喝	oisii	形容詞
x	まずい	難吃、難喝	mazui	形容詞
やさしい	易しい	簡單	yasasii	形容詞
むずかしい	難しい	困難的	muzukasii	形容詞
やさしい	優しい	溫柔	yasasii	形容詞
きびしい	厳しい	嚴格的	kibisii	形容詞
くらい	暗い	暗暗的	kurai	形容詞
あかるい	明るい	明亮的	akarui	形容詞
いそがしい	忙しい	忙碌	isogasii	形容詞
かわいい	可愛い	可愛	kawaii	形容詞
たのしい	楽しい	快樂	tanosii	形容詞
x	うるさい	吵、囉嗦	urusai	形容詞
きれい	綺麗	漂亮、乾淨	kirei	形容詞
べんり	便利	方便	bennri	形容詞
ゆうめい	有名	有名	yuumei	形容詞
しずか	静か	安靜	sizuka	形容詞
にぎやか	賑やか	熱鬧、繁華	nigiyaka	形容詞
